location	variant	date	sequences
Belgium	21I	2021-12-12	7
Brazil	21I	2021-12-12	1
Canada	21I	2021-12-12	48
Croatia	21I	2021-12-12	2
Denmark	21I	2021-12-12	14
France	21I	2021-12-12	12
Germany	21I	2021-12-12	12
Italy	21I	2021-12-12	4
Japan	21I	2021-12-12	1
Lithuania	21I	2021-12-12	1
Malaysia	21I	2021-12-12	6
Netherlands	21I	2021-12-12	13
Poland	21I	2021-12-12	5
Russia	21I	2021-12-12	1
Slovakia	21I	2021-12-12	1
Slovenia	21I	2021-12-12	2
South Korea	21I	2021-12-12	49
Spain	21I	2021-12-12	3
Sweden	21I	2021-12-12	7
Switzerland	21I	2021-12-12	1
USA	21I	2021-12-12	111
United Kingdom	21I	2021-12-12	22
Belgium	21I	2021-12-13	11
Brazil	21I	2021-12-13	2
Canada	21I	2021-12-13	77
Chile	21I	2021-12-13	1
Croatia	21I	2021-12-13	8
Denmark	21I	2021-12-13	13
France	21I	2021-12-13	112
Germany	21I	2021-12-13	42
Greece	21I	2021-12-13	1
Italy	21I	2021-12-13	8
Japan	21I	2021-12-13	3
Malaysia	21I	2021-12-13	16
Netherlands	21I	2021-12-13	13
Peru	21I	2021-12-13	3
Poland	21I	2021-12-13	7
Russia	21I	2021-12-13	1
Singapore	21I	2021-12-13	2
Slovakia	21I	2021-12-13	2
Slovenia	21I	2021-12-13	5
South Korea	21I	2021-12-13	41
Spain	21I	2021-12-13	6
Sweden	21I	2021-12-13	40
Switzerland	21I	2021-12-13	9
USA	21I	2021-12-13	211
United Kingdom	21I	2021-12-13	41
Belgium	21I	2021-12-14	7
Canada	21I	2021-12-14	80
Croatia	21I	2021-12-14	9
Denmark	21I	2021-12-14	7
France	21I	2021-12-14	20
Germany	21I	2021-12-14	35
Ireland	21I	2021-12-14	26
Italy	21I	2021-12-14	27
Japan	21I	2021-12-14	3
Malaysia	21I	2021-12-14	25
Netherlands	21I	2021-12-14	21
Poland	21I	2021-12-14	3
Russia	21I	2021-12-14	1
Singapore	21I	2021-12-14	2
Slovenia	21I	2021-12-14	2
South Korea	21I	2021-12-14	72
Spain	21I	2021-12-14	17
Sweden	21I	2021-12-14	22
Switzerland	21I	2021-12-14	13
USA	21I	2021-12-14	183
United Kingdom	21I	2021-12-14	26
Australia	21I	2021-12-15	1
Belgium	21I	2021-12-15	11
Brazil	21I	2021-12-15	3
Canada	21I	2021-12-15	52
Croatia	21I	2021-12-15	13
Denmark	21I	2021-12-15	6
Finland	21I	2021-12-15	1
France	21I	2021-12-15	17
Germany	21I	2021-12-15	38
Japan	21I	2021-12-15	4
Lithuania	21I	2021-12-15	2
Malaysia	21I	2021-12-15	12
Netherlands	21I	2021-12-15	18
Poland	21I	2021-12-15	2
Singapore	21I	2021-12-15	1
Slovenia	21I	2021-12-15	10
South Korea	21I	2021-12-15	132
Spain	21I	2021-12-15	9
Sweden	21I	2021-12-15	16
Switzerland	21I	2021-12-15	4
USA	21I	2021-12-15	170
United Kingdom	21I	2021-12-15	22
Australia	21I	2021-12-16	1
Austria	21I	2021-12-16	1
Belgium	21I	2021-12-16	8
Brazil	21I	2021-12-16	3
Canada	21I	2021-12-16	26
Chile	21I	2021-12-16	1
Croatia	21I	2021-12-16	11
Denmark	21I	2021-12-16	7
France	21I	2021-12-16	11
Germany	21I	2021-12-16	37
Italy	21I	2021-12-16	5
Lithuania	21I	2021-12-16	1
Malaysia	21I	2021-12-16	14
Netherlands	21I	2021-12-16	13
Poland	21I	2021-12-16	1
Russia	21I	2021-12-16	1
Singapore	21I	2021-12-16	1
Slovenia	21I	2021-12-16	5
South Korea	21I	2021-12-16	87
Spain	21I	2021-12-16	2
Sweden	21I	2021-12-16	15
Switzerland	21I	2021-12-16	2
USA	21I	2021-12-16	158
United Kingdom	21I	2021-12-16	19
Austria	21I	2021-12-17	2
Belgium	21I	2021-12-17	9
Brazil	21I	2021-12-17	1
Canada	21I	2021-12-17	20
Chile	21I	2021-12-17	1
Croatia	21I	2021-12-17	7
Denmark	21I	2021-12-17	3
Finland	21I	2021-12-17	1
France	21I	2021-12-17	16
Germany	21I	2021-12-17	19
Greece	21I	2021-12-17	1
Italy	21I	2021-12-17	4
Japan	21I	2021-12-17	1
Malaysia	21I	2021-12-17	15
Netherlands	21I	2021-12-17	11
Poland	21I	2021-12-17	1
Russia	21I	2021-12-17	2
Singapore	21I	2021-12-17	1
Slovakia	21I	2021-12-17	1
Slovenia	21I	2021-12-17	2
South Korea	21I	2021-12-17	42
Spain	21I	2021-12-17	10
Sweden	21I	2021-12-17	5
Switzerland	21I	2021-12-17	11
USA	21I	2021-12-17	134
United Kingdom	21I	2021-12-17	11
Belgium	21I	2021-12-18	3
Canada	21I	2021-12-18	15
Chile	21I	2021-12-18	1
Denmark	21I	2021-12-18	3
France	21I	2021-12-18	9
Germany	21I	2021-12-18	16
Greece	21I	2021-12-18	1
Italy	21I	2021-12-18	3
Japan	21I	2021-12-18	1
Malaysia	21I	2021-12-18	14
Netherlands	21I	2021-12-18	10
Poland	21I	2021-12-18	5
Russia	21I	2021-12-18	1
Slovakia	21I	2021-12-18	1
South Korea	21I	2021-12-18	59
Sweden	21I	2021-12-18	8
Switzerland	21I	2021-12-18	6
USA	21I	2021-12-18	84
United Kingdom	21I	2021-12-18	19
Belgium	21I	2021-12-19	3
Brazil	21I	2021-12-19	2
Canada	21I	2021-12-19	9
Denmark	21I	2021-12-19	4
Finland	21I	2021-12-19	1
France	21I	2021-12-19	7
Germany	21I	2021-12-19	1
Italy	21I	2021-12-19	6
Malaysia	21I	2021-12-19	18
Netherlands	21I	2021-12-19	7
Slovakia	21I	2021-12-19	1
South Korea	21I	2021-12-19	46
Spain	21I	2021-12-19	3
Sweden	21I	2021-12-19	4
Switzerland	21I	2021-12-19	3
USA	21I	2021-12-19	66
United Kingdom	21I	2021-12-19	16
Belgium	21I	2021-12-20	11
Brazil	21I	2021-12-20	5
Canada	21I	2021-12-20	34
Croatia	21I	2021-12-20	4
Denmark	21I	2021-12-20	4
France	21I	2021-12-20	100
Germany	21I	2021-12-20	41
Italy	21I	2021-12-20	18
Japan	21I	2021-12-20	3
Lithuania	21I	2021-12-20	1
Malaysia	21I	2021-12-20	21
Netherlands	21I	2021-12-20	14
Peru	21I	2021-12-20	1
Poland	21I	2021-12-20	4
Russia	21I	2021-12-20	1
Singapore	21I	2021-12-20	1
Slovakia	21I	2021-12-20	1
Slovenia	21I	2021-12-20	7
South Korea	21I	2021-12-20	26
Spain	21I	2021-12-20	4
Sweden	21I	2021-12-20	33
Switzerland	21I	2021-12-20	10
USA	21I	2021-12-20	127
United Kingdom	21I	2021-12-20	14
Belgium	21I	2021-12-21	6
Brazil	21I	2021-12-21	4
Canada	21I	2021-12-21	14
Croatia	21I	2021-12-21	10
Denmark	21I	2021-12-21	3
France	21I	2021-12-21	10
Germany	21I	2021-12-21	27
Italy	21I	2021-12-21	3
Japan	21I	2021-12-21	5
Lithuania	21I	2021-12-21	1
Malaysia	21I	2021-12-21	19
Netherlands	21I	2021-12-21	15
Poland	21I	2021-12-21	2
Russia	21I	2021-12-21	3
Slovenia	21I	2021-12-21	2
South Korea	21I	2021-12-21	28
Spain	21I	2021-12-21	3
Sweden	21I	2021-12-21	6
Switzerland	21I	2021-12-21	6
USA	21I	2021-12-21	120
United Kingdom	21I	2021-12-21	2
Australia	21I	2021-12-22	1
Belgium	21I	2021-12-22	6
Brazil	21I	2021-12-22	3
Canada	21I	2021-12-22	8
Croatia	21I	2021-12-22	2
Denmark	21I	2021-12-22	2
France	21I	2021-12-22	9
Germany	21I	2021-12-22	31
Italy	21I	2021-12-22	4
Japan	21I	2021-12-22	1
Lithuania	21I	2021-12-22	1
Malaysia	21I	2021-12-22	13
Netherlands	21I	2021-12-22	10
Peru	21I	2021-12-22	3
Poland	21I	2021-12-22	8
Russia	21I	2021-12-22	3
Slovakia	21I	2021-12-22	1
Slovenia	21I	2021-12-22	1
South Korea	21I	2021-12-22	59
Spain	21I	2021-12-22	4
Sweden	21I	2021-12-22	5
Switzerland	21I	2021-12-22	1
USA	21I	2021-12-22	96
United Kingdom	21I	2021-12-22	2
Belgium	21I	2021-12-23	5
Brazil	21I	2021-12-23	2
Canada	21I	2021-12-23	13
Croatia	21I	2021-12-23	22
Denmark	21I	2021-12-23	7
France	21I	2021-12-23	6
Germany	21I	2021-12-23	28
Italy	21I	2021-12-23	13
Japan	21I	2021-12-23	5
Lithuania	21I	2021-12-23	1
Malaysia	21I	2021-12-23	11
Netherlands	21I	2021-12-23	10
Peru	21I	2021-12-23	1
Poland	21I	2021-12-23	1
Slovakia	21I	2021-12-23	1
Slovenia	21I	2021-12-23	6
South Korea	21I	2021-12-23	43
Spain	21I	2021-12-23	3
Sweden	21I	2021-12-23	11
Switzerland	21I	2021-12-23	3
USA	21I	2021-12-23	71
Belgium	21I	2021-12-24	2
Brazil	21I	2021-12-24	1
Canada	21I	2021-12-24	12
Croatia	21I	2021-12-24	1
France	21I	2021-12-24	8
Germany	21I	2021-12-24	15
Italy	21I	2021-12-24	6
Japan	21I	2021-12-24	6
Malaysia	21I	2021-12-24	14
Netherlands	21I	2021-12-24	7
Peru	21I	2021-12-24	1
Poland	21I	2021-12-24	8
Slovenia	21I	2021-12-24	1
South Korea	21I	2021-12-24	55
Spain	21I	2021-12-24	4
Sweden	21I	2021-12-24	4
USA	21I	2021-12-24	25
United Kingdom	21I	2021-12-24	10
Belgium	21I	2021-12-25	3
Canada	21I	2021-12-25	2
Chile	21I	2021-12-25	1
Denmark	21I	2021-12-25	1
France	21I	2021-12-25	7
Germany	21I	2021-12-25	5
Italy	21I	2021-12-25	6
Japan	21I	2021-12-25	1
Malaysia	21I	2021-12-25	5
Netherlands	21I	2021-12-25	9
Poland	21I	2021-12-25	4
South Korea	21I	2021-12-25	68
Spain	21I	2021-12-25	3
Sweden	21I	2021-12-25	3
USA	21I	2021-12-25	11
Belgium	21I	2021-12-26	3
Canada	21I	2021-12-26	2
France	21I	2021-12-26	6
Germany	21I	2021-12-26	6
Japan	21I	2021-12-26	1
Malaysia	21I	2021-12-26	4
Netherlands	21I	2021-12-26	6
Slovakia	21I	2021-12-26	2
Slovenia	21I	2021-12-26	2
South Korea	21I	2021-12-26	40
Spain	21I	2021-12-26	2
Sweden	21I	2021-12-26	2
Switzerland	21I	2021-12-26	2
USA	21I	2021-12-26	37
United Kingdom	21I	2021-12-26	1
Belgium	21I	2021-12-27	1
Brazil	21I	2021-12-27	1
Canada	21I	2021-12-27	10
Croatia	21I	2021-12-27	10
Denmark	21I	2021-12-27	1
France	21I	2021-12-27	63
Germany	21I	2021-12-27	12
Italy	21I	2021-12-27	2
Japan	21I	2021-12-27	2
Malaysia	21I	2021-12-27	12
Netherlands	21I	2021-12-27	10
Russia	21I	2021-12-27	1
Singapore	21I	2021-12-27	1
Slovakia	21I	2021-12-27	3
Slovenia	21I	2021-12-27	3
South Korea	21I	2021-12-27	47
Spain	21I	2021-12-27	3
Sweden	21I	2021-12-27	5
Switzerland	21I	2021-12-27	3
USA	21I	2021-12-27	55
United Kingdom	21I	2021-12-27	3
Belgium	21I	2021-12-28	3
Canada	21I	2021-12-28	5
Croatia	21I	2021-12-28	9
Denmark	21I	2021-12-28	5
France	21I	2021-12-28	14
Germany	21I	2021-12-28	4
Ireland	21I	2021-12-28	1
Japan	21I	2021-12-28	2
Malaysia	21I	2021-12-28	3
