date	location	variant	sequences
2022-01-04	England	21J	311
2022-01-05	England	21J	254
2022-01-06	England	21J	250
2022-01-07	England	21J	239
2022-01-08	England	21J	120
2022-01-09	England	21J	106
2022-01-10	England	21J	141
2022-01-11	England	21J	121
2022-01-12	England	21J	99
2022-01-13	England	21J	80
2022-01-14	England	21J	72
2022-01-15	England	21J	56
2022-01-16	England	21J	39
2022-01-17	England	21J	62
2022-01-18	England	21J	53
2022-01-19	England	21J	38
2022-01-20	England	21J	46
2022-01-21	England	21J	30
2022-01-22	England	21J	23
2022-01-23	England	21J	15
2022-01-24	England	21J	17
2022-01-25	England	21J	64
2022-01-26	England	21J	15
2022-01-27	England	21J	18
2022-01-28	England	21J	41
2022-01-29	England	21J	10
2022-01-30	England	21J	7
2022-01-31	England	21J	13
2022-02-01	England	21J	7
2022-02-02	England	21J	16
2022-02-03	England	21J	24
2022-02-04	England	21J	15
2022-02-05	England	21J	4
2022-02-06	England	21J	2
2022-02-07	England	21J	11
2022-02-08	England	21J	19
2022-02-09	England	21J	14
2022-02-10	England	21J	14
2022-02-11	England	21J	15
2022-02-12	England	21J	2
2022-02-13	England	21J	4
2022-02-14	England	21J	2
2022-02-15	England	21J	17
2022-02-16	England	21J	3
2022-02-17	England	21J	26
2022-02-18	England	21J	1
2022-02-19	England	21J	3
2022-02-21	England	21J	3
2022-02-22	England	21J	6
2022-02-23	England	21J	3
2022-02-24	England	21J	11
2022-02-25	England	21J	4
2022-02-26	England	21J	1
2022-02-28	England	21J	1
2022-03-04	England	21J	3
2022-03-05	England	21J	1
2022-03-06	England	21J	2
2022-03-07	England	21J	2
2022-03-08	England	21J	5
2022-03-09	England	21J	2
2022-03-10	England	21J	2
2022-03-11	England	21J	1
2022-03-13	England	21J	1
2022-03-15	England	21J	1
2022-03-16	England	21J	3
2022-03-18	England	21J	1
2022-03-22	England	21J	2
2022-03-23	England	21J	1
2022-03-25	England	21J	14
2022-03-28	England	21J	1
2022-03-31	England	21J	1
2022-04-04	England	21J	1
2022-04-08	England	21J	1
2022-05-06	England	21J	1
2022-06-05	England	21J	1
2022-06-15	England	21J	1
2022-06-29	England	21J	1
2022-07-16	England	21J	2
2022-08-13	England	21J	1
2022-08-15	England	21J	1
2022-01-04	England	21K	13805
2022-01-05	England	21K	10768
2022-01-06	England	21K	11775
2022-01-07	England	21K	8112
2022-01-08	England	21K	7229
2022-01-09	England	21K	6713
2022-01-10	England	21K	10775
2022-01-11	England	21K	10276
2022-01-12	England	21K	8743
2022-01-13	England	21K	7742
2022-01-14	England	21K	8785
2022-01-15	England	21K	6784
2022-01-16	England	21K	6676
2022-01-17	England	21K	10103
2022-01-18	England	21K	9658
2022-01-19	England	21K	9103
2022-01-20	England	21K	8850
2022-01-21	England	21K	8852
2022-01-22	England	21K	5961
2022-01-23	England	21K	6252
2022-01-24	England	21K	9487
2022-01-25	England	21K	8946
2022-01-26	England	21K	7793
2022-01-27	England	21K	6286
2022-01-28	England	21K	6787
2022-01-29	England	21K	6733
2022-01-30	England	21K	7965
2022-01-31	England	21K	9755
2022-02-01	England	21K	7045
2022-02-02	England	21K	8923
2022-02-03	England	21K	8473
2022-02-04	England	21K	7889
2022-02-05	England	21K	7649
2022-02-06	England	21K	6912
2022-02-07	England	21K	9038
2022-02-08	England	21K	8244
2022-02-09	England	21K	6324
2022-02-10	England	21K	5918
2022-02-11	England	21K	6576
2022-02-12	England	21K	5496
2022-02-13	England	21K	4636
2022-02-14	England	21K	6319
2022-02-15	England	21K	5655
2022-02-16	England	21K	5340
2022-02-17	England	21K	5765
2022-02-18	England	21K	3742
2022-02-19	England	21K	4385
2022-02-20	England	21K	3134
2022-02-21	England	21K	5000
2022-02-22	England	21K	3687
2022-02-23	England	21K	3220
2022-02-24	England	21K	1757
2022-02-25	England	21K	1857
2022-02-26	England	21K	1381
2022-02-27	England	21K	1097
2022-02-28	England	21K	1634
2022-03-01	England	21K	1664
2022-03-02	England	21K	1567
2022-03-03	England	21K	1871
2022-03-04	England	21K	2223
2022-03-05	England	21K	1232
2022-03-06	England	21K	1050
2022-03-07	England	21K	1788
2022-03-08	England	21K	1599
2022-03-09	England	21K	1540
2022-03-10	England	21K	1063
2022-03-11	England	21K	1086
2022-03-12	England	21K	751
2022-03-13	England	21K	869
2022-03-14	England	21K	1169
2022-03-15	England	21K	936
2022-03-16	England	21K	710
2022-03-17	England	21K	729
2022-03-18	England	21K	747
2022-03-19	England	21K	576
2022-03-20	England	21K	388
2022-03-21	England	21K	487
2022-03-22	England	21K	445
2022-03-23	England	21K	425
2022-03-24	England	21K	428
2022-03-25	England	21K	357
2022-03-26	England	21K	214
2022-03-27	England	21K	200
2022-03-28	England	21K	445
2022-03-29	England	21K	214
2022-03-30	England	21K	111
2022-03-31	England	21K	68
2022-04-01	England	21K	60
2022-04-02	England	21K	64
2022-04-03	England	21K	40
2022-04-04	England	21K	105
2022-04-05	England	21K	51
2022-04-06	England	21K	53
2022-04-07	England	21K	58
2022-04-08	England	21K	51
2022-04-09	England	21K	31
2022-04-10	England	21K	27
2022-04-11	England	21K	68
2022-04-12	England	21K	35
2022-04-13	England	21K	28
2022-04-14	England	21K	19
2022-04-15	England	21K	10
2022-04-16	England	21K	19
2022-04-17	England	21K	7
2022-04-18	England	21K	18
2022-04-19	England	21K	18
2022-04-20	England	21K	11
2022-04-21	England	21K	12
2022-04-22	England	21K	9
2022-04-23	England	21K	8
2022-04-24	England	21K	14
2022-04-25	England	21K	14
2022-04-26	England	21K	10
2022-04-27	England	21K	6
2022-04-28	England	21K	4
2022-04-29	England	21K	6
2022-04-30	England	21K	3
2022-05-01	England	21K	2
2022-05-02	England	21K	5
